Path,Category,FieldID,Field,Participants,Items,Stability,ValueType,Units,ItemType,Strata,Sexed,Instances,Array,Coding,Notes,Link,my_colname
Online follow-up > Work environment > Employment history,130,22610,Workplace full of chemical or other fumes,119916,398984,Accruing,Categorical single,,Data,Primary,Unisex,1,40,493,"Participant asked ""Thinking about the place where you worked: Was it full of chemical or other fumes?""  Participants were allowed to skip answering this question.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22610,WP_chemicals
Online follow-up > Work environment > Employment history,130,22611,Workplace had a lot of cigarette smoke from other people smoking,119966,399149,Accruing,Categorical single,,Data,Primary,Unisex,1,40,493,"Participant asked ""Thinking about the place where you worked: Was there a lot of cigarette smoke from other people smoking?""  Participants were allowed to skip answering this question.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22611,WP_cig
Online follow-up > Work environment > Employment history,130,22615,Workplace had a lot of diesel exhaust,119819,396899,Accruing,Categorical single,,Data,Primary,Unisex,1,40,493,"Participant asked ""Thinking about the place where you worked: Was there a lot of diesel exhaust?""  Participants were allowed to skip answering this question.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22615,WP_diesel
Online follow-up > Work environment > Employment history,130,22616,Breathing problems during period of job,120300,402691,Accruing,Categorical single,,Data,Primary,Unisex,1,40,7,"Particpant asked: ""When you had this job, did you have problems with your breathing?""",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22616,breathing
UK Biobank Assessment Centre > Touchscreen > Health and medical history > Breathing,100037,2316,Wheeze or whistling in the chest in last year,501602,572228,Complete,Categorical single,,Data,Primary,Unisex,4,1,100349,"ACE touchscreen question ""In the last year have you ever had wheeze or whistling in the chest?""",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2316,whistling
Population characteristics > Baseline characteristics,100094,31,Sex,502506,502506,Complete,Categorical single,,Data,Primary,Unisex,1,1,9,"Sex of participant.  Acquired from central registry at recruitment, but in some cases updated by the participant. Hence this field may contain a mixture of the sex the NHS had recorded for the participant and self-reported sex.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=31,sex
UK Biobank Assessment Centre > Physical measures > Spirometry,100020,20153,"Forced expiratory volume in 1-second (FEV1), predicted",151973,151973,Complete,Continuous,litres,Data,Derived,Unisex,1,1,,"Predicted Forced Expiratory Volume in 1-second (FEV1), was calculated using a subset of ""healthy never smokers"" from UK Biobank. ""Healthy never smokers"", were selected as individuals with ""Ever Smoking Status""=0 and with ""Reproducible measure using the European Respiratory Society/American Thoracic Society (ERS/ATS) Criteria""=YES (1), with the following exclusions:     ~F2316~: Individuals who indicated that they had experienced wheeze: ""Yes"" (1), ""Do not know"" (-1) or ""Prefer not to answer"" (-3).     ~F6152~: Individuals who reported ""emphysema/chronic bronchitis"" (6) or ""asthma"" (8) or ""Prefer not to answer"" (-3).    ~F20002~: Individuals who reported any of the following: asthma (1111), COPD (1112), emphysema/chronic bronchitis (1113), bronchiectasis (1114), interstitial lung disease (1115), asbestosis (1120), pulmonary fibrosis (1121), fibrosing/unspecified alveolitis (1122), respiratory failure (1124), pleurisy (1125), spontaneous/recurrent pneumothorax (1126), other respiratory problems (1117).     Healthy never smokers were grouped into 58 age-sex bands (29 age bands per sex; ages 39, 40 and 41 were grouped into one band and ages 69, 70 and 72 were grouped into one band with ages 42 to 68 each forming a separate band) and the following linear regression model was fitted in each age-sex band:  FEV1 =  Beta0  +  Beta1  * Standing Height   Predicted FEV1 was then calculated for all samples who were never smokers (""Ever Smoking Status""=0) or heavy smokers (""Ever Smoking Status""=1 AND ""Pack years as proportion of life span exposed to smoking"" &gt;= 0.42) and with ""Reproducible measure using the European Respiratory Society/American Thoracic Society (ERS/ATS) Criteria""=YES, using the estimates of  Beta0  and  Beta1 , from the appropriate age-sex band:  Predicted FEV1= (pred. Beta0 ) + (pred. Beta1 )^ * Standing Height   Five individuals were outliers in terms of their FEV1 and were not coded.   This derived data field has come from Professor Martin Tobin at the University of Leicester.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20153,fev
Online follow-up > Work environment > Medical information,132,22130,Doctor diagnosed COPD (chronic obstructive pulmonary disease),121277,121277,Accruing,Categorical single,,Data,Primary,Unisex,1,1,7,"User asked ""Has a doctor ever told you that you have had any of the conditions below?"" ""COPD (Chronic Obstructive Pulmonary Disease)"" was one of the options listed.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22130,copd
UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions,100044,2443,Diabetes diagnosed by doctor,501592,572218,Complete,Categorical single,,Data,Primary,Unisex,4,1,100349,"ACE touchscreen question ""Has a doctor ever told you that you have diabetes?"" If the participant activated the Help button they were shown the message:     If you are unsure if you have been told you had diabetes, select Do not know and you will be asked about this by an interviewer later during this visit.     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2443,diabetes
UK Biobank Assessment Centre > Verbal interview > Medical conditions,100074,134,Number of self-reported cancers,501656,566685,Complete,Integer,,Data,Primary,Unisex,4,1,,Number of cancers entered,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=134,n_cancers
UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking,100058,20116,Smoking status,501632,572258,Complete,Categorical single,,Data,Derived,Unisex,4,1,90,This field summarises the current/past smoking status of the participant.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20116,smoking
